Indicator,periodval,data_source,country_code,Date,pop,dftype,Counts,Rate,tabtitlex
Cases,14 days,JHU,ABW,2021-09-09,120917,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,AFG,2021-09-09,37466414,cross,1018,2.7,Cases reported in the past 14 days
Cases,14 days,JHU,AGO,2021-09-09,33642646,cross,2902,8.6,Cases reported in the past 14 days
Cases,14 days,JHU,AIA,2021-09-09,18403,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,ALB,2021-09-09,3088385,cross,12063,390.6,Cases reported in the past 14 days
Cases,14 days,JHU,AND,2021-09-09,85645,cross,62,72.4,Cases reported in the past 14 days
Cases,14 days,JHU,ARE,2021-09-09,9856612,cross,13395,135.9,Cases reported in the past 14 days
Cases,14 days,JHU,ARG,2021-09-09,45864941,cross,57067,124.4,Cases reported in the past 14 days
Cases,14 days,JHU,ARM,2021-09-09,3011609,cross,7258,241,Cases reported in the past 14 days
Cases,14 days,JHU,ASM,2021-09-09,46366,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,ATG,2021-09-09,99175,cross,461,464.8,Cases reported in the past 14 days
Cases,14 days,JHU,AUS,2021-09-09,25809973,cross,21096,81.7,Cases reported in the past 14 days
Cases,14 days,JHU,AUT,2021-09-09,8884864,cross,21955,247.1,Cases reported in the past 14 days
Cases,14 days,JHU,AZE,2021-09-09,10282283,cross,42183,410.2,Cases reported in the past 14 days
Cases,14 days,JHU,BDI,2021-09-09,12241065,cross,986,8.1,Cases reported in the past 14 days
Cases,14 days,JHU,BEL,2021-09-09,11778842,cross,27751,235.6,Cases reported in the past 14 days
Cases,14 days,JHU,BEN,2021-09-09,13301694,cross,6614,49.7,Cases reported in the past 14 days
Cases,14 days,JHU,BES,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,BFA,2021-09-09,21382659,cross,123,0.6,Cases reported in the past 14 days
Cases,14 days,JHU,BGD,2021-09-09,164098818,cross,42262,25.8,Cases reported in the past 14 days
Cases,14 days,JHU,BGR,2021-09-09,6919180,cross,19869,287.2,Cases reported in the past 14 days
Cases,14 days,JHU,BHR,2021-09-09,1526929,cross,1412,92.5,Cases reported in the past 14 days
Cases,14 days,JHU,BHS,2021-09-09,352655,cross,1422,403.2,Cases reported in the past 14 days
Cases,14 days,JHU,BIH,2021-09-09,3824782,cross,8115,212.2,Cases reported in the past 14 days
Cases,14 days,JHU,BLM,2021-09-09,7116,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,BLR,2021-09-09,9441842,cross,23017,243.8,Cases reported in the past 14 days
Cases,14 days,JHU,BLZ,2021-09-09,405633,cross,1512,372.8,Cases reported in the past 14 days
Cases,14 days,JHU,BMU,2021-09-09,72084,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,BOL,2021-09-09,11758869,cross,4981,42.4,Cases reported in the past 14 days
Cases,14 days,JHU,BRA,2021-09-09,213445417,cross,282338,132.3,Cases reported in the past 14 days
Cases,14 days,JHU,BRB,2021-09-09,301865,cross,910,301.5,Cases reported in the past 14 days
Cases,14 days,JHU,BRN,2021-09-09,471103,cross,1672,354.9,Cases reported in the past 14 days
Cases,14 days,JHU,BTN,2021-09-09,857423,cross,5,0.6,Cases reported in the past 14 days
Cases,14 days,JHU,BWA,2021-09-09,2350667,cross,9872,420,Cases reported in the past 14 days
Cases,14 days,JHU,CAF,2021-09-09,5357984,cross,39,0.7,Cases reported in the past 14 days
Cases,14 days,JHU,CAN,2021-09-09,37943231,cross,50938,134.2,Cases reported in the past 14 days
Cases,14 days,JHU,CHE,2021-09-09,8453550,cross,37163,439.6,Cases reported in the past 14 days
Cases,14 days,JHU,CHL,2021-09-09,18307925,cross,6688,36.5,Cases reported in the past 14 days
Cases,14 days,JHU,CHN,2021-09-09,1397897720,cross,363,0,Cases reported in the past 14 days
Cases,14 days,JHU,CIV,2021-09-09,28088455,cross,3125,11.1,Cases reported in the past 14 days
Cases,14 days,JHU,CMR,2021-09-09,28524175,cross,785,2.8,Cases reported in the past 14 days
Cases,14 days,JHU,COD,2021-09-09,105044646,cross,1859,1.8,Cases reported in the past 14 days
Cases,14 days,JHU,COG,2021-09-09,5417414,cross,168,3.1,Cases reported in the past 14 days
Cases,14 days,JHU,COK,2021-09-09,8327,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,COL,2021-09-09,50355650,cross,25915,51.5,Cases reported in the past 14 days
Cases,14 days,JHU,COM,2021-09-09,864335,cross,38,4.4,Cases reported in the past 14 days
Cases,14 days,JHU,CPV,2021-09-09,589451,cross,1335,226.5,Cases reported in the past 14 days
Cases,14 days,JHU,CRI,2021-09-09,5151140,cross,33962,659.3,Cases reported in the past 14 days
Cases,14 days,JHU,CUB,2021-09-09,11032343,cross,101067,916.1,Cases reported in the past 14 days
Cases,14 days,JHU,CUW,2021-09-09,151885,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,CYM,2021-09-09,63131,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,CYP,2021-09-09,1281506,cross,3299,257.4,Cases reported in the past 14 days
Cases,14 days,JHU,CZE,2021-09-09,10702596,cross,3723,34.8,Cases reported in the past 14 days
Cases,14 days,JHU,DEU,2021-09-09,79903481,cross,145245,181.8,Cases reported in the past 14 days
Cases,14 days,JHU,DJI,2021-09-09,938413,cross,112,11.9,Cases reported in the past 14 days
Cases,14 days,JHU,DMA,2021-09-09,74584,cross,836,1120.9,Cases reported in the past 14 days
Cases,14 days,JHU,DNK,2021-09-09,5894687,cross,9534,161.7,Cases reported in the past 14 days
Cases,14 days,JHU,DOM,2021-09-09,10597348,cross,3526,33.3,Cases reported in the past 14 days
Cases,14 days,JHU,DZA,2021-09-09,43576691,cross,5601,12.9,Cases reported in the past 14 days
Cases,14 days,JHU,ECU,2021-09-09,17093159,cross,4697,27.5,Cases reported in the past 14 days
Cases,14 days,JHU,EGY,2021-09-09,106437241,cross,4426,4.2,Cases reported in the past 14 days
