country_code,date,pop,daily.inc,cum.inc,inc.raw,ci.2wk,n.2wk,n.cum,spline,daily.ci.change,epi.curve.cat,hbg.cat,numDaysDownward,rebound,pct.n.2wk,rate_cut,slope_cut,hb_cut,datatype,date_text,epi.curve.map.cat,growth.cat.labels,growth.map.cat.labels,data_source,ou_cut_src_match
ABW,2021-08-30,120917,70.768732743476,11743.71085715231,0,1148.7218505255678,1389,14318,93.52186081940961,0.8371868909648185,elevated incidence growth,hbg,0,rebound,9.701075569213577,10,0.1,100,Case,2021-08-30,rebound,Elevated incidence growth,Rebound,WHO,ABW_0.1_10_WHO
AFG,2021-08-30,37466414,0.2154310410232938,408.11866481651697,0.3069415717234107,2.685071488293488,1006,153148,0,-0.04034457321676932,decline,not hbg,55,none,0.6568809256405569,10,0.1,100,Case,2021-08-30,decline,Sustained decline,Sustained decline,WHO,AFG_0.1_10_WHO
AGO,2021-08-30,33642646,0.519323853760767,138.792378493144,0.26454518470396177,7.582637822245033,2551,47168,0.5624015289276451,0.007834711800610576,low incidence plateau,not hbg,87,none,5.408327679782904,10,0.1,100,Case,2021-08-30,low incidence plateau,Low incidence plateau,Low incidence plateau,WHO,AGO_0.1_10_WHO
AIA,2021-08-30,18403,21.735586589143054,995.1793574029078,0,364.07107536814647,67,194,28.676291310362412,1.1587300193133128,elevated incidence growth,hbg,0,rebound,34.5360824742268,10,0.1,100,Case,2021-08-30,rebound,Elevated incidence growth,Rebound,WHO,AIA_0.1_10_WHO
ALB,2021-08-30,3088385,25.54733299119107,4606.938577929889,24.867365953402828,288.176506491257,8900,144847,21.704234283490447,0.8812738688342826,elevated incidence growth,hbg,0,rebound,6.144414451110483,10,0.1,100,Case,2021-08-30,rebound,Elevated incidence growth,Rebound,WHO,ALB_0.1_10_WHO
AND,2021-08-30,85645,6.1716554214654025,17532.50544189887,0,117.92865899935714,101,15025,4.32250531558498,-0.9570022523164083,decline,not hbg,22,none,0.6722129783693843,10,0.1,100,Case,2021-08-30,decline,Sustained decline,Sustained decline,WHO,AND_0.1_10_WHO
ARE,2021-08-30,9856612,10.14982198171856,7237.8535632440735,10.013582760486058,148.174646622997,14605,716381,10.1547378861102,-0.20043562633249043,decline,not hbg,57,none,2.038719619867082,10,0.1,100,Case,2021-08-30,decline,Sustained decline,Sustained decline,WHO,ARE_0.1_10_WHO
ARG,2021-08-30,45864941,12.647693459053698,11237.365688221735,8.121671845168185,197.42748606174064,90550,5171458,13.100339902489818,-0.5451246099351444,decline,not hbg,79,none,1.750956886819926,10,0.1,100,Case,2021-08-30,decline,Sustained decline,Sustained decline,WHO,ARG_0.1_10_WHO
ARM,2021-08-30,3011609,17.674462863065855,7975.698609708536,9.13133145770251,225.69330879274185,6797,241611,17.37997021556173,0.3924359985342263,elevated incidence growth,hbg,0,rebound,2.813199730144737,10,0.1,100,Case,2021-08-30,rebound,Elevated incidence growth,Rebound,WHO,ARM_0.1_10_WHO
ASM,2021-08-30,46366,0,0,0,0,0,0,0,0,none,none,0,none,0,10,0.1,100,Case,2021-08-30,none,No reported cases,No reported cases,WHO,ASM_0.1_10_WHO
